Shortcut,Action,Application,OS,Category,Description,Frequency
Win+B,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Win+C,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Win+D,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Win+E,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Win+F,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Win+G,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Win+H,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Win+I,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Win+J,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Win+K,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Win+L,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Win+M,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Win+N,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Win+O,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Win+P,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Win+Q,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Win+R,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Win+S,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Win+T,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Win+U,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Win+V,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Win+W,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Win+X,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Win+Y,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Win+Z,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Win+F1,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Win+F2,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Win+F3,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Win+F4,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Win+F5,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Win+F6,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Win+F7,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Win+F8,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Win+F9,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Win+F10,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Win+F11,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Win+F12,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Win+F13,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Win+F14,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Win+F15,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Win+F16,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Win+F17,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Win+F18,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Win+F19,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Win+F20,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Win+F21,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Win+F22,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Win+F23,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Win+F24,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Win+0,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Win+1,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Win+2,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Win+3,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Win+4,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Win+5,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Win+6,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Win+7,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Win+8,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Win+9,Application Shortcut,macOS,Cross Platform,Generated Index,Potential shortcut mapping for macOS,Medium
Ctrl+A,Application Shortcut,KDE Plasma,Cross Platform,Generated Index,Potential shortcut mapping for KDE Plasma,Medium
Ctrl+B,Application Shortcut,KDE Plasma,Cross Platform,Generated Index,Potential shortcut mapping for KDE Plasma,Medium
Ctrl+C,Application Shortcut,KDE Plasma,Cross Platform,Generated Index,Potential shortcut mapping for KDE Plasma,Medium
Ctrl+D,Application Shortcut,KDE Plasma,Cross Platform,Generated Index,Potential shortcut mapping for KDE Plasma,Medium
Ctrl+E,Application Shortcut,KDE Plasma,Cross Platform,Generated Index,Potential shortcut mapping for KDE Plasma,Medium
Ctrl+F,Application Shortcut,KDE Plasma,Cross Platform,Generated Index,Potential shortcut mapping for KDE Plasma,Medium
Ctrl+G,Application Shortcut,KDE Plasma,Cross Platform,Generated Index,Potential shortcut mapping for KDE Plasma,Medium
Ctrl+H,Application Shortcut,KDE Plasma,Cross Platform,Generated Index,Potential shortcut mapping for KDE Plasma,Medium
Ctrl+I,Application Shortcut,KDE Plasma,Cross Platform,Generated Index,Potential shortcut mapping for KDE Plasma,Medium
Ctrl+J,Application Shortcut,KDE Plasma,Cross Platform,Generated Index,Potential shortcut mapping for KDE Plasma,Medium
Ctrl+K,Application Shortcut,KDE Plasma,Cross Platform,Generated Index,Potential shortcut mapping for KDE Plasma,Medium
Ctrl+L,Application Shortcut,KDE Plasma,Cross Platform,Generated Index,Potential shortcut mapping for KDE Plasma,Medium
Ctrl+M,Application Shortcut,KDE Plasma,Cross Platform,Generated Index,Potential shortcut mapping for KDE Plasma,Medium
Ctrl+N,Application Shortcut,KDE Plasma,Cross Platform,Generated Index,Potential shortcut mapping for KDE Plasma,Medium
Ctrl+O,Application Shortcut,KDE Plasma,Cross Platform,Generated Index,Potential shortcut mapping for KDE Plasma,Medium
Ctrl+P,Application Shortcut,KDE Plasma,Cross Platform,Generated Index,Potential shortcut mapping for KDE Plasma,Medium
Ctrl+Q,Application Shortcut,KDE Plasma,Cross Platform,Generated Index,Potential shortcut mapping for KDE Plasma,Medium
Ctrl+R,Application Shortcut,KDE Plasma,Cross Platform,Generated Index,Potential shortcut mapping for KDE Plasma,Medium
Ctrl+S,Application Shortcut,KDE Plasma,Cross Platform,Generated Index,Potential shortcut mapping for KDE Plasma,Medium
Ctrl+T,Application Shortcut,KDE Plasma,Cross Platform,Generated Index,Potential shortcut mapping for KDE Plasma,Medium
Ctrl+U,Application Shortcut,KDE Plasma,Cross Platform,Generated Index,Potential shortcut mapping for KDE Plasma,Medium
Ctrl+V,Application Shortcut,KDE Plasma,Cross Platform,Generated Index,Potential shortcut mapping for KDE Plasma,Medium
Ctrl+W,Application Shortcut,KDE Plasma,Cross Platform,Generated Index,Potential shortcut mapping for KDE Plasma,Medium
Ctrl+X,Application Shortcut,KDE Plasma,Cross Platform,Generated Index,Potential shortcut mapping for KDE Plasma,Medium
Ctrl+Y,Application Shortcut,KDE Plasma,Cross Platform,Generated Index,Potential shortcut mapping for KDE Plasma,Medium
Ctrl+Z,Application Shortcut,KDE Plasma,Cross Platform,Generated Index,Potential shortcut mapping for KDE Plasma,Medium
Ctrl+F1,Application Shortcut,KDE Plasma,Cross Platform,Generated Index,Potential shortcut mapping for KDE Plasma,Medium
Ctrl+F2,Application Shortcut,KDE Plasma,Cross Platform,Generated Index,Potential shortcut mapping for KDE Plasma,Medium
Ctrl+F3,Application Shortcut,KDE Plasma,Cross Platform,Generated Index,Potential shortcut mapping for KDE Plasma,Medium
Ctrl+F4,Application Shortcut,KDE Plasma,Cross Platform,Generated Index,Potential shortcut mapping for KDE Plasma,Medium
Ctrl+F5,Application Shortcut,KDE Plasma,Cross Platform,Generated Index,Potential shortcut mapping for KDE Plasma,Medium
Ctrl+F6,Application Shortcut,KDE Plasma,Cross Platform,Generated Index,Potential shortcut mapping for KDE Plasma,Medium
Ctrl+F7,Application Shortcut,KDE Plasma,Cross Platform,Generated Index,Potential shortcut mapping for KDE Plasma,Medium
Ctrl+F8,Application Shortcut,KDE Plasma,Cross Platform,Generated Index,Potential shortcut mapping for KDE Plasma,Medium
Ctrl+F9,Application Shortcut,KDE Plasma,Cross Platform,Generated Index,Potential shortcut mapping for KDE Plasma,Medium
Ctrl+F10,Application Shortcut,KDE Plasma,Cross Platform,Generated Index,Potential shortcut mapping for KDE Plasma,Medium
Ctrl+F11,Application Shortcut,KDE Plasma,Cross Platform,Generated Index,Potential shortcut mapping for KDE Plasma,Medium
Ctrl+F12,Application Shortcut,KDE Plasma,Cross Platform,Generated Index,Potential shortcut mapping for KDE Plasma,Medium
Ctrl+F13,Application Shortcut,KDE Plasma,Cross Platform,Generated Index,Potential shortcut mapping for KDE Plasma,Medium
Ctrl+F14,Application Shortcut,KDE Plasma,Cross Platform,Generated Index,Potential shortcut mapping for KDE Plasma,Medium
Ctrl+F15,Application Shortcut,KDE Plasma,Cross Platform,Generated Index,Potential shortcut mapping for KDE Plasma,Medium
Ctrl+F16,Application Shortcut,KDE Plasma,Cross Platform,Generated Index,Potential shortcut mapping for KDE Plasma,Medium
Ctrl+F17,Application Shortcut,KDE Plasma,Cross Platform,Generated Index,Potential shortcut mapping for KDE Plasma,Medium
Ctrl+F18,Application Shortcut,KDE Plasma,Cross Platform,Generated Index,Potential shortcut mapping for KDE Plasma,Medium
Ctrl+F19,Application Shortcut,KDE Plasma,Cross Platform,Generated Index,Potential shortcut mapping for KDE Plasma,Medium
Ctrl+F20,Application Shortcut,KDE Plasma,Cross Platform,Generated Index,Potential shortcut mapping for KDE Plasma,Medium
Ctrl+F21,Application Shortcut,KDE Plasma,Cross Platform,Generated Index,Potential shortcut mapping for KDE Plasma,Medium
Ctrl+F22,Application Shortcut,KDE Plasma,Cross Platform,Generated Index,Potential shortcut mapping for KDE Plasma,Medium
Ctrl+F23,Application Shortcut,KDE Plasma,Cross Platform,Generated Index,Potential shortcut mapping for KDE Plasma,Medium
Ctrl+F24,Application Shortcut,KDE Plasma,Cross Platform,Generated Index,Potential shortcut mapping for KDE Plasma,Medium
Ctrl+0,Application Shortcut,KDE Plasma,Cross Platform,Generated Index,Potential shortcut mapping for KDE Plasma,Medium
Ctrl+1,Application Shortcut,KDE Plasma,Cross Platform,Generated Index,Potential shortcut mapping for KDE Plasma,Medium
Ctrl+2,Application Shortcut,KDE Plasma,Cross Platform,Generated Index,Potential shortcut mapping for KDE Plasma,Medium
Ctrl+3,Application Shortcut,KDE Plasma,Cross Platform,Generated Index,Potential shortcut mapping for KDE Plasma,Medium
Ctrl+4,Application Shortcut,KDE Plasma,Cross Platform,Generated Index,Potential shortcut mapping for KDE Plasma,Medium
Ctrl+5,Application Shortcut,KDE Plasma,Cross Platform,Generated Index,Potential shortcut mapping for KDE Plasma,Medium
Ctrl+6,Application Shortcut,KDE Plasma,Cross Platform,Generated Index,Potential shortcut mapping for KDE Plasma,Medium
Ctrl+7,Application Shortcut,KDE Plasma,Cross Platform,Generated Index,Potential shortcut mapping for KDE Plasma,Medium
Ctrl+8,Application Shortcut,KDE Plasma,Cross Platform,Generated Index,Potential shortcut mapping for KDE Plasma,Medium
Ctrl+9,Application Shortcut,KDE Plasma,Cross Platform,Generated Index,Potential shortcut mapping for KDE Plasma,Medium
Alt+A,Application Shortcut,KDE Plasma,Cross Platform,Generated Index,Potential shortcut mapping for KDE Plasma,Medium
Alt+B,Application Shortcut,KDE Plasma,Cross Platform,Generated Index,Potential shortcut mapping for KDE Plasma,Medium
Alt+C,Application Shortcut,KDE Plasma,Cross Platform,Generated Index,Potential shortcut mapping for KDE Plasma,Medium
Alt+D,Application Shortcut,KDE Plasma,Cross Platform,Generated Index,Potential shortcut mapping for KDE Plasma,Medium
Alt+E,Application Shortcut,KDE Plasma,Cross Platform,Generated Index,Potential shortcut mapping for KDE Plasma,Medium
Alt+F,Application Shortcut,KDE Plasma,Cross Platform,Generated Index,Potential shortcut mapping for KDE Plasma,Medium
Alt+G,Application Shortcut,KDE Plasma,Cross Platform,Generated Index,Potential shortcut mapping for KDE Plasma,Medium
Alt+H,Application Shortcut,KDE Plasma,Cross Platform,Generated Index,Potential shortcut mapping for KDE Plasma,Medium
Alt+I,Application Shortcut,KDE Plasma,Cross Platform,Generated Index,Potential shortcut mapping for KDE Plasma,Medium
Alt+J,Application Shortcut,KDE Plasma,Cross Platform,Generated Index,Potential shortcut mapping for KDE Plasma,Medium
Alt+K,Application Shortcut,KDE Plasma,Cross Platform,Generated Index,Potential shortcut mapping for KDE Plasma,Medium
Alt+L,Application Shortcut,KDE Plasma,Cross Platform,Generated Index,Potential shortcut mapping for KDE Plasma,Medium
Alt+M,Application Shortcut,KDE Plasma,Cross Platform,Generated Index,Potential shortcut mapping for KDE Plasma,Medium
